"treatment","comp","plot_id","period","live_vegetation_recovery_rate","live_vegetation_carbon","live_veg_disturbance"
"burn",400,"0400-00112","Burn_1",3.26338897442179,133.134393906732,-2.05637452385165
"burn",400,"0400-00116","Burn_1",-4.74483630903878,177.559399127412,-3.66635550239546
"burn",400,"0400-00118","Burn_1",2.22963223470313,108.335943493105,0.633632950360334
"burn",400,"0400-00119","Burn_1",2.76979640326691,64.8823142502568,0.316145117084092
"burn",400,"0400-00120","Burn_1",4.17651664562254,151.195809135759,1.98033176923425
"burn",400,"0400-00121","Burn_1",6.17284172066475,179.234504073547,1.23516873629943
"control",40,"0040-00002","Burn_1",2.48070499694739,137.358086347539,6.12553638320666
"control",40,"0040-00003","Burn_1",6.28158968562824,194.894077487605,1.49876399652828
"control",40,"0040-00005","Burn_1",5.27206749989776,190.758300759321,3.57838416903146
"control",40,"0040-00007","Burn_1",2.47226610840567,107.212866564557,0.829941669291003
"control",40,"0040-00012","Burn_1",7.25707504936555,130.530408146871,2.6221724084789
"control",40,"0040-00101","Burn_1",6.53813306358864,163.8831979259,1.5803541718543
"control",40,"0040-00103","Burn_1",8.33387777499252,275.797158387449,-0.502919817875249
"control",40,"0040-00104","Burn_1",5.07785249886863,221.489188916156,2.58948607762054
"control",40,"0040-00105","Burn_1",11.3559016176326,337.498062990499,7.48590556423536
"control",40,"0040-00106","Burn_1",6.4010271805427,155.252607617858,-1.40067388244976
"control",40,"0040-00107","Burn_1",4.77710017491885,121.493135785894,0.601277019906517
"control",40,"0040-00108","Burn_1",1.95404247077823,49.0411565697087,1.04110279401119
"control",40,"0040-00109","Burn_1",7.33542708880665,325.92747085566,2.96857418868947
"control",40,"0040-00110","Burn_1",9.1591479414177,412.600658616054,-3.30519553397128
"control",40,"0040-00111","Burn_1",3.37786194351334,189.612630201081,0.591737422549037
"control",40,"0040-00112","Burn_1",2.35791288701919,127.588844038582,-3.61480777716016
"control",40,"0040-00113","Burn_1",7.27421422951313,305.743310949383,6.71392645598308
"control",40,"0040-00114","Burn_1",6.04754086118426,78.004667319951,0.269818826178451
"control",40,"0040-00115","Burn_1",3.95009049537167,158.394036015649,2.84129203527077
"control",40,"0040-00116","Burn_1",4.02317532613953,139.167635378223,7.07935620733805
"control",240,"0240-00003","Burn_1",8.93647699697465,90.463765025073,-6.07717966966239
"control",240,"0240-00005","Burn_1",4.31867070554592,83.2173710589994,2.21891216752753
"control",240,"0240-00007","Burn_1",4.70790055645875,141.89229865049,3.99967205643518
"control",240,"0240-00009","Burn_1",2.6115345719886,129.898365871412,6.41347839558753
"control",240,"0240-00022","Burn_1",4.22149875830524,129.385952326591,7.515695667735
"control",240,"0240-00026","Burn_1",4.03325679548069,140.8182413777,2.316402319196
"control",240,"0240-00101","Burn_1",3.12664553777206,189.062414721139,4.26505438659458
"control",240,"0240-00102","Burn_1",6.71148480939666,192.225999492042,7.5931457531118
"control",240,"0240-00104","Burn_1",3.64397350177546,177.968146907444,7.89368878732847
"control",240,"0240-00105","Burn_1",6.10957633143628,160.455221381583,2.67792100169717
"control",240,"0240-00106","Burn_1",4.59377596673452,169.388150896454,3.34314449542718
"control",240,"0240-00107","Burn_1",2.82978866949987,62.2741504593516,2.43283934887669
"control",240,"0240-00109","Burn_1",4.05097813682537,126.33879989773,0.0287347577817529
