treatment,plot_id,total_survive,total_survive_fire_resist
control,0590-00102,179.7450905,135.5216989
control,0590-00104,123.7602739,0.640691753
control,0590-00105,235.2252966,102.9715388
control,0590-00106,335.1528603,224.6709222
control,0590-00107,0,0
control,0590-00109,399.5917594,282.4395928
control,0590-00111,14.51076542,7.534600133
control,0590-00113,63.47870129,0
control,0590-00115,187.2329281,83.70527087
control,0590-00116,127.4666559,0
control,0590-00117,97.05707344,87.20786841
control,0590-00118,312.9721708,139.1809569
mech,0190-00010,143.5110383,56.71415995
mech,0190-00024,190.4945169,0
mech,0190-00025,90.05436666,0
mech,0190-00026,147.1927264,34.76516159
mech,0190-00102,271.7121319,0
mech,0190-00106,53.3811219,0
mech,0190-00108,99.08324431,0
mech,0190-00110,145.8555873,66.94088154
mech,0190-00111,227.3017403,138.3066721
mech,0350-00002,164.7554724,120.765035
mech,0350-00003,97.42988574,57.47583828
mech,0350-00005,232.9791973,125.4569972
mech,0350-00101,79.55362839,0
mech,0350-00102,131.8231468,0
mech,0350-00103,150.0980371,0
mech,0350-00105,123.7223004,0
mech,0350-00106,138.3034543,41.22676153
mech,0350-00109,138.4772207,0
mech,0350-00110,111.5925267,0
mech,0350-00111,376.7575688,301.3147288
mech,0350-00112,160.0982928,0
mech,0350-00113,74.81074763,0
mech,0350-00115,69.6900366,0
mech,0350-00116,250.4792765,140.220589
mech,0350-00117,140.2415307,0
mech,0350-00119,171.8837438,83.78458377
mech,0490-00004,83.52759175,0
mech,0490-00008,132.8891934,0
mech,0490-00018,68.03312825,7.97E-05
mech,0490-00020,53.70514804,0
mech,0490-00033,94.67317494,0
mech,0490-00035,152.908421,94.51639706
mech,0490-00041,349.860686,195.3404161
mech,0490-00042,107.4112766,0
mech,0490-00102,254.2353219,252.9192462
mech,0490-00103,262.5587808,141.0094332
mech,0490-00104,251.4519673,196.9458274
mech,0490-00105,159.4240449,90.68791283
mech,0490-00110,108.7734346,0.048428101
mech,0490-00115,339.5575157,299.0048299
mech,0490-00117,184.3928026,150.3166046
mech,0490-00120,123.0024514,0
mech,0490-00122,217.4708691,154.0017845
mech,0490-00124,97.29385487,0
mech,0490-00125,106.1626,0
mech,0490-00126,192.9814881,162.8055925
mechburn,0180-00008,64.75694424,0
mechburn,0180-00010,43.13105953,43.13105953
mechburn,0180-00018,81.53673139,81.53673139
mechburn,0180-00101,0,0
mechburn,0180-00102,165.8237688,165.8237688
mechburn,0180-00107,257.2776432,252.6858824
mechburn,0180-00108,186.7647873,183.6304879
mechburn,0180-00109,143.8764861,101.8446009
mechburn,0180-00110,4.666191881,0
mechburn,0180-00111,129.154035,105.9285019
mechburn,0180-00114,193.0582894,171.8088729
mechburn,0380-00002,65.66244434,23.67050949
mechburn,0380-00004,205.3928886,47.07014415
mechburn,0380-00006,109.0580982,77.65687451
mechburn,0380-00010,102.5731356,31.75095591
mechburn,0380-00015,142.8549029,129.5068686
mechburn,0380-00102,129.8437451,129.8437451
mechburn,0380-00103,0,0
mechburn,0380-00104,128.0179006,0
mechburn,0380-00107,140.9765493,84.81884944
mechburn,0380-00110,121.2116179,121.2116179
mechburn,0380-00112,133.120685,0
mechburn,0380-00113,17.37117442,0
mechburn,0380-00114,230.1749549,230.1749549
mechburn,0380-00117,201.7173312,59.60232703
mechburn,0380-00118,133.9816081,70.63806949
mechburn,0380-00119,218.3827374,211.7413688
mechburn,0380-00120,248.6310513,101.0172465
mechburn,0380-00125,112.8830307,79.09776196
mechburn,0380-00127,0,0
mechburn,0570-00011,79.24493702,25.86113087
mechburn,0570-00013,124.3841376,101.5619391
mechburn,0570-00017,196.4375842,108.0416298
mechburn,0570-00023,184.5902889,131.2283611
mechburn,0570-00025,31.33362056,0
mechburn,0570-00101,165.184494,119.3067716
mechburn,0570-00102,82.32047194,63.81927339
mechburn,0570-00103,144.348516,65.40570228
mechburn,0570-00104,80.51892411,79.84122489
mechburn,0570-00105,138.6788109,98.24309703
mechburn,0570-00106,248.0395198,217.6333821
mechburn,0570-00107,183.6606627,75.98983365
mechburn,0570-00110,105.8408478,47.91273953
mechburn,0570-00111,117.6676806,81.51901689
mechburn,0570-00112,124.5145289,30.90828307
mechburn,0570-00113,158.7442473,127.2215532
mechburn,0570-00115,97.60465497,0
mechburn,0570-00119,106.2310926,44.93872042
