"treatment","timestep","comp","plot_id","tree_carbon_Live","tree_carbon_Snag","understory_carbon","duff_carbon","litter_carbon","fines_carbon","coarse_carbon","fuels_carbon","soil_carbon","all_carbon"
"burn","pre_treatment",60,"0060-00109",188.564516248978,3.73288001378519,0,5.2898748318,8.4382035140865,3.01162356925,22.5862775665,39.3259794816365,49.3009803979456,280.924356142346
"burn","pre_treatment",60,"0060-00111",113.223392585149,0,0.435126508,36.48133590381,12.122909382485,13.0097693685,8.0901311425,69.704145797295,57.7490701742458,241.11173506469
"burn","pre_treatment",60,"0060-00112",113.952471746209,0,0.402370483,17.02882309998,9.34430002124,6.6412747645,0,33.01439788572,64.571847810981,211.94108792591
"burn","pre_treatment",60,"0060-00113",113.219039882626,0,0.103235711,9.155725125958,7.075944239053,11.417248807,10.54233707,38.191255242011,61.2906827896119,212.804213625249
"burn","pre_treatment",60,"0060-00114",209.129307256733,127.36584650153,0.573251195,2.76995490506,12.788418697675,4.2571003255,39.1564000035,58.971873931735,73.3072650921169,469.347543977114
"burn","pre_treatment",60,"0060-00116",147.956134494188,4.7508458410622,1.26615512,8.33604567376,10.10507534136,6.7792080705,16.64689332,41.86722240562,81.6915615432954,277.531919404165
"burn","pre_treatment",60,"0060-00117",185.640688017997,0,1.678561563,5.41123249734,6.974443053867,5.922054937,0,18.307730488207,56.8183245452452,262.445304614449
"burn","pre_treatment",60,"0060-00119",206.621920960029,0,0.204971422,19.19342104887,9.43714928655,10.27775070325,27.837798155,66.74611919367,58.9087642450276,332.481775820727
"burn","pre_treatment",340,"0340-00006",124.258575939758,1.35914818222133,3.287473558,3.97872039222,1.161551798655,2.18310908875,18.06008991975,25.383471199375,49.0491337425385,203.337802621893
"burn","pre_treatment",340,"0340-00013",133.288254172902,0,0.708649977,23.49785604529,9.5964609381015,4.3835211605,1.989124607,39.4669627508915,38.0288240613257,211.492690962119
"burn","pre_treatment",340,"0340-00024",223.787629445155,2.37258634152754,0,19.71215353541,11.29004741395,1.61764392225,16.37945973825,48.99930460986,57.4081496821619,332.567670078704
"burn","pre_treatment",340,"0340-00025",74.4424745303345,0,0,14.51684218438,5.6162361733695,4.9821269955,18.801615655,43.9168210082495,77.3326125361698,195.691908074754
"burn","pre_treatment",340,"0340-00026",124.583813067649,8.002826015343,0.101735711,2.955165715848,3.4089673870105,2.58465047825,34.17373972,43.1225233011085,45.2773337521734,221.088231847274
"burn","pre_treatment",340,"0340-00103",228.910167611686,6.83189306585241,0.203971422,19.33458627927,9.485874001345,4.95785736575,29.430659825,63.208977471365,47.867055798548,347.022065369451
"burn","pre_treatment",340,"0340-00104",115.119045416198,0,2.9550104,9.30392952093,22.35215975196,14.595442623,3.65787503775,49.90940693364,50.4296722055208,218.413134955358
"burn","pre_treatment",340,"0340-00108",81.8454940925122,0,0.980194039,4.48188369135,6.506195179904,6.9839943545,18.7007525185,36.672825744254,55.5594709984422,175.057984874208
"burn","pre_treatment",340,"0340-00109",84.1291446313591,2.02569940677494,0.303134772,2.7253709742,1.843672959353,3.6254433725,1.5221997915,9.716687097553,48.5066128167463,144.681278724433
"burn","pre_treatment",340,"0340-00111",97.5675794810945,57.5248685900947,0,18.88184204873,4.109671786795,10.51708640475,94.096783071,127.605383311275,56.1884228022301,338.886254184694
"burn","pre_treatment",340,"0340-00112",393.723747590662,46.9389306764116,0.102235711,16.10804000134,11.42013861671,10.14823255475,8.1039953075,45.7804064803,45.7927714198856,532.338091878259
"burn","pre_treatment",340,"0340-00113",260.031158864205,0,0.102735711,31.56913300588,7.254386505885,1.571890484,29.82204833,70.217458325765,42.3267950032917,372.678147904262
"burn","pre_treatment",340,"0340-00114",191.883397954103,3.531027444308,1.420227593,19.64718851223,6.613809208245,5.42998052675,33.1344858375,64.825464084725,50.7560052814869,312.416122357623
"burn","pre_treatment",340,"0340-00115",77.573164562608,0,0,4.083318617608,6.50322495712,8.532101522,1.44066253475,20.559307631478,63.6072388697283,161.739711063814
"burn","pre_treatment",340,"0340-00116",173.535717200747,0,1.013784749,1.292937866892,4.758359511921,1.92471789225,8.47599420475,16.452009475813,55.469905993744,246.471417419304
"burn","pre_treatment",340,"0340-00117",145.24990748245,37.349316878673,1.429154755,4.159107082589,4.9662347019485,4.0296473725,10.89662721075,24.0516163677875,47.1137498033428,255.193745287254
"burn","pre_treatment",340,"0340-00121",157.504640753691,15.0740183728349,5.17375952,0,4.601755571645,2.86012693625,20.0426600125,27.504542520395,45.8084134827694,251.06537464969
"burn","pre_treatment",340,"0340-00122",129.46058662015,10.5189392791291,0.979194039,53.857743514,7.17642440136,13.68385784925,15.3436171425,90.06164290711,51.844384381797,282.864747227186
"burn","pre_treatment",340,"0340-00123",230.578224470092,1.34358201134894,0.575251195,9.42112041262,5.55368808821,5.436099772,0,20.41090827283,52.3303936453826,305.238359594654
"burn","pre_treatment",340,"0340-00124",131.445237228661,0,0.122127543,20.87421838178,17.10539976696,16.666236593,25.8155848925,80.46143963424,62.9899696520794,275.018774057981
"burn","pre_treatment",400,"0400-00002",92.2602426834873,0,0,0,2.510594219897,2.19761503025,5.876264355,10.584473605147,66.1885977967459,169.03331408538
"burn","pre_treatment",400,"0400-00009",160.055465188704,1.26805766252424,0,26.03818815653,4.388289740652,2.4530209425,2.275888566,35.155387405682,58.2368728056807,254.715783062591
"burn","pre_treatment",400,"0400-00022",189.588648383123,0,0,16.18696686496,6.81545116007,3.683503893,67.184919925,93.87084184303,57.2209729082782,340.680463134431
"burn","pre_treatment",400,"0400-00023",49.2411316606315,0,0,0,2.597972044286,2.19302899325,12.6251761475,17.416177185036,47.3615778395822,114.01888668525
"burn","pre_treatment",400,"0400-00024",199.259506559435,0,0,26.5922418754,8.10326891336,5.18632078775,17.3522106525,57.23404222901,59.7367473174942,316.230296105939
"burn","pre_treatment",400,"0400-00101",122.390102374471,0,0.175715397,31.3007185889,10.62145774587,6.17731457375,4.152002225,52.25149313352,68.3549811154472,243.172292020438
"burn","pre_treatment",400,"0400-00102",108.075187749509,2.45706260800086,0.526786135,2.568184739846,14.9718943687,3.16305600725,8.2418178425,28.944952958296,51.972378393692,191.976367844498
