plot_id,treatment,carbon
0340-00109,burn,11.88166909
0340-00111,burn,40.06930909
0340-00112,burn,12.01174909
0340-00113,burn,12.59828727
0340-00114,burn,85.76779636
0340-00116,burn,37.11067636
0340-00117,burn,51.81281455
0340-00121,burn,46.43667273
0340-00122,burn,28.30335273
0340-00123,burn,13.24179273
0340-00124,burn,82.70224364
0350-00002,mech,65.56784727
0350-00003,mech,22.03195636
0350-00005,mech,42.92858182
0350-00101,mech,22.04960727
0350-00102,mech,78.32236364
0350-00103,mech,53.34286909
0350-00105,mech,70.83716727
0350-00106,mech,99.11641091
0350-00109,mech,100.3404764
0350-00110,mech,11.42402182
0350-00111,mech,34.57568727
0350-00112,mech,34.25827636
0350-00113,mech,71.75534182
0350-00115,mech,53.48271273
0350-00116,mech,47.65864364
0350-00117,mech,56.66062909
0350-00119,mech,25.06229455
0380-00002,mechburn,22.57634182
0380-00004,mechburn,7.850072727
0380-00006,mechburn,19.13744727
0380-00010,mechburn,5.7576
0380-00015,mechburn,3.714850909
0380-00102,mechburn,27.48694909
0380-00103,mechburn,4.417625455
0380-00104,mechburn,17.64944727
0380-00107,mechburn,2.254854545
0380-00110,mechburn,14.28495273
0380-00112,mechburn,19.07631273
0380-00113,mechburn,6.430767273
0380-00114,mechburn,6.2208
0380-00117,mechburn,12.61002545
0380-00118,mechburn,6.890072727
0380-00119,mechburn,9.063054545
0380-00120,mechburn,19.29836727
0380-00125,mechburn,6.194454545
0380-00127,mechburn,25.98326182
0400-00002,burn,37.33184727
0400-00009,burn,13.06519636
0400-00022,burn,11.37499636
0400-00023,burn,19.37608364
0400-00024,burn,18.15993818
0400-00101,burn,13.35584727
0400-00102,burn,29.44708364
0400-00103,burn,37.12827273
0400-00104,burn,14.72628
0400-00105,burn,8.251701818
0400-00106,burn,9.690992727
0400-00108,burn,8.125352727
0400-00109,burn,14.29298182
0400-00110,burn,10.26268364
0400-00116,burn,14.41216364
0400-00118,burn,12.57206182
0400-00119,burn,11.58498545
0400-00120,burn,13.88822182
0400-00121,burn,12.04833818
0490-00004,mech,33.45687273
0490-00008,mech,94.41262909
0490-00018,mech,47.97474545
0490-00020,mech,49.43623636
0490-00033,mech,21.87914182
0490-00035,mech,27.86933455
0490-00041,mech,65.40831273
0490-00042,mech,14.58073091
0490-00102,mech,85.87300364
0490-00103,mech,19.50680727
0490-00104,mech,39.49265455
0490-00105,mech,65.80942909
0490-00110,mech,69.90064364
0490-00115,mech,82.19065091
0490-00117,mech,36.81291273
0490-00120,mech,72.22995273
0490-00122,mech,70.53618545
0490-00124,mech,27.11486182
0490-00125,mech,47.62399636
0490-00126,mech,119.2464436
0570-00011,mechburn,34.06686545
0570-00013,mechburn,19.39745455
0570-00017,mechburn,15.00645818
0570-00023,mechburn,17.14273091
0570-00025,mechburn,54.39961091
0570-00101,mechburn,28.97145818
0570-00102,mechburn,27.23864727
0570-00103,mechburn,12.99315273
0570-00104,mechburn,11.46970909
0570-00105,mechburn,13.78382182
0570-00106,mechburn,54.29242909
0570-00107,mechburn,11.96353091
0570-00110,mechburn,45.88650545
0570-00111,mechburn,33.19966909
0570-00112,mechburn,30.30714545
0570-00113,mechburn,88.65669818
0570-00115,mechburn,12.15032727
0570-00119,mechburn,91.10861455
0590-00005,control,95.03394545
0590-00009,control,58.20593455
0590-00013,control,69.88336364
0590-00021,control,116.9254909
0590-00101,control,145.4877164
0590-00102,control,35.37413455
0590-00104,control,65.91105818
0590-00105,control,63.20493818
0590-00106,control,132.8920582
0590-00107,control,109.0198909
0590-00109,control,43.62062182
0590-00111,control,116.9753891
0590-00113,control,181.4654291
0590-00115,control,98.54045455
0590-00116,control,76.84483636
0590-00117,control,36.04310182
0590-00118,control,94.59845455
