"treatment","comp","plot_id","period","fuels_recovery_rate","surface_carbon","fuels_disturbance"
"control",590,"0590-00111","Burn_1",0.834082754518167,14.049302964655,-3.0022135652645
"control",590,"0590-00113","Burn_1",0.493820313512583,12.412424929665,-0.92291695113775
"control",590,"0590-00115","Burn_1",-3.54322846631417,32.88136093414,-1.86551701675
"control",590,"0590-00116","Burn_1",-1.495531916861,7.92800781113,1.27239897898425
"control",590,"0590-00117","Burn_1",0.537333718656583,6.51405287543,1.20425148320525
"control",590,"0590-00118","Burn_1",-0.174020613048333,6.786913176285,2.8212591367175
"burn",60,"0060-00021","Burn_2",0.4087249243535,13.396022877025,-7.4455198331375
"burn",60,"0060-00027","Burn_2",0.905571095125,7.1132727675,0
"burn",60,"0060-00101","Burn_2",-0.307592264387667,8.042086423355,0
"burn",60,"0060-00102","Burn_2",-0.705151686022417,7.3111485273185,0
"burn",60,"0060-00103","Burn_2",1.94777229126258,7.923448444475,-4.7147726818105
"burn",60,"0060-00104","Burn_2",0.998621229848,2.792155510579,0.669438243121
"burn",60,"0060-00105","Burn_2",1.9019612400345,4.745207745858,0
"burn",60,"0060-00106","Burn_2",2.87063718483333,3.48686212242,0
"burn",60,"0060-00107","Burn_2",-0.4488635084005,27.26572402938,-18.348055550586
"burn",60,"0060-00108","Burn_2",0.598214959143083,4.7364682153915,-0.0194358075000007
"burn",60,"0060-00109","Burn_2",2.67856072422467,9.69472814682,-5.702482123168
"burn",60,"0060-00111","Burn_2",1.93630423725442,10.4810721114385,0
"burn",60,"0060-00112","Burn_2",0.0609686602317501,7.40774287317,-0.8807778245
"burn",60,"0060-00113","Burn_2",1.44449051636558,9.781423241555,-7.9092490808435
"burn",60,"0060-00114","Burn_2",1.68318851171583,10.13856783079,-2.13589889746
"burn",60,"0060-00116","Burn_2",-0.700350775648083,10.44695990149,-3.85986522696
"burn",60,"0060-00117","Burn_2",-0.651725837267917,10.89754095709,0
"burn",60,"0060-00119","Burn_2",0.510232162975833,7.7589040691,0
"burn",60,"0060-00130","Burn_2",0.513888856166083,10.1952103432185,0
"burn",340,"0340-00006","Burn_2",0.38581595977175,12.789551684285,-6.27583356377
"burn",340,"0340-00013","Burn_2",0.545337938373667,6.130744566683,0
"burn",340,"0340-00024","Burn_2",3.67876450681342,10.613745756435,-2.8514158220405
"burn",340,"0340-00025","Burn_2",-0.273756375133,5.181835527778,0
"burn",340,"0340-00026","Burn_2",1.6577195131375,3.22216398627,0
"burn",340,"0340-00103","Burn_2",1.75728761209917,4.724551025525,0
"burn",340,"0340-00104","Burn_2",0.081285391166,2.250702555727,0
"burn",340,"0340-00108","Burn_2",0.0263769137058333,14.536649945565,0
"burn",340,"0340-00109","Burn_2",-0.371565167403083,10.7987699863,-3.7910978590585
"burn",340,"0340-00111","Burn_2",5.8303337155445,3.275022331813,0
"burn",340,"0340-00112","Burn_2",1.57993409798692,9.11836516198,-4.3569160465765
"burn",340,"0340-00113","Burn_2",0.949491823920417,7.6728872105825,-4.451175818497
"burn",340,"0340-00114","Burn_2",1.79157609863467,4.1530919008275,-0.8242023353455
"burn",340,"0340-00116","Burn_2",-0.641523830363917,9.115055201744,0
"burn",340,"0340-00117","Burn_2",0.836633726428334,16.226334734705,0
"burn",340,"0340-00121","Burn_2",0.495151957128417,3.4563663474735,0
"burn",340,"0340-00122","Burn_2",0.362903059833333,11.4529144645,0
"burn",340,"0340-00123","Burn_2",0.324102418887583,6.279567261498,-3.777427188832
"burn",340,"0340-00124","Burn_2",-0.1067308937925,6.870431533347,-4.8785356271735
"burn",400,"0400-00002","Burn_2",0.198148101444833,7.829430374955,-2.988161358186
"burn",400,"0400-00009","Burn_2",1.89887992697575,11.79144345643,-5.2174805198995
"burn",400,"0400-00022","Burn_2",1.42919684984158,7.99973005058,-0.5758522616445
"burn",400,"0400-00023","Burn_2",0.583941366759,13.26048247702,-6.9158028444545
"burn",400,"0400-00024","Burn_2",-1.55938671377333,15.34165332777,0
"burn",400,"0400-00101","Burn_2",-0.182436011375834,10.850919791585,-4.7094916503305
"burn",400,"0400-00102","Burn_2",-0.8674363079915,13.29983325555,-5.5117288929515
"burn",400,"0400-00103","Burn_2",-0.0744558398277499,8.13812205744,-2.15569680411
"burn",400,"0400-00104","Burn_2",2.00911055183,13.77691806795,-2.6206916165
"burn",400,"0400-00105","Burn_2",3.74838672215608,9.5348729915,-5.0681954790915
"burn",400,"0400-00106","Burn_2",0.190910109893583,10.386828229535,-6.7878904829495
"burn",400,"0400-00108","Burn_2",1.13862418739383,11.0434232036755,-7.8629071816335
"burn",400,"0400-00109","Burn_2",2.76934841085458,12.50022403285,-8.1313526392425
"burn",400,"0400-00110","Burn_2",2.32540888220833,8.3255667232,-6.41155458185
"burn",400,"0400-00112","Burn_2",1.55962619934533,6.9638031914865,-2.3334568578535
