"","treatment","timestep","treatment_factor","timestep_factor","comp","plot_id","fire_tolerate_carbon","tree_carbon","fire_percentage","fire_percentage_01"
"104","control","post_18","control","post_18",240,"0240-00109",55.9874151783255,173.566924503464,32.2569610186347,0.322569610186347
"105","control","post_18","control","post_18",240,"0240-00112",0.580049900001943,161.734631160236,0.35864297945396,0.0035864297945396
"106","control","post_18","control","post_18",240,"0240-00113",175.718026107327,323.393144247557,54.3357301269241,0.543357301269241
"107","control","post_18","control","post_18",240,"0240-00114",213.425081488016,308.767427502348,69.1216308709872,0.691216308709872
"108","control","post_18","control","post_18",240,"0240-00115",49.5993080990116,304.111934782759,16.3095565895639,0.163095565895639
"109","control","post_18","control","post_18",590,"0590-00005",88.0203384197055,224.487949716169,39.2093822991363,0.392093822991363
"110","control","post_18","control","post_18",590,"0590-00009",81.9984226782495,198.319445022674,41.3466378291219,0.413466378291219
"111","control","post_18","control","post_18",590,"0590-00013",56.9173467724601,247.605207416526,22.9871364040873,0.229871364040873
"112","control","post_18","control","post_18",590,"0590-00021",3.94361433712424,163.254566716814,2.41562267839341,0.0241562267839341
"113","control","post_18","control","post_18",590,"0590-00102",140.02719233664,214.075533512908,65.4101802475232,0.654101802475232
"114","control","post_18","control","post_18",590,"0590-00104",1.79486372335952,162.285570676356,1.10599094908997,0.0110599094908997
"115","control","post_18","control","post_18",590,"0590-00105",106.972053594703,248.061201721823,43.1232505737281,0.431232505737281
"116","control","post_18","control","post_18",590,"0590-00106",229.939445896653,386.995176263598,59.4166180872581,0.594166180872581
"117","control","post_18","control","post_18",590,"0590-00107",202.62660344525,303.777235570976,66.7023659835458,0.667023659835458
"118","control","post_18","control","post_18",590,"0590-00109",289.99932436348,417.425257951664,69.4733533343259,0.694733533343259
"119","control","post_18","control","post_18",590,"0590-00111",154.309425016469,452.149652779051,34.1279538904954,0.341279538904954
"120","control","post_18","control","post_18",590,"0590-00113",0.194800606447361,187.872427598276,0.103687703905067,0.00103687703905067
"121","control","post_18","control","post_18",590,"0590-00115",86.326338306237,222.171968618414,38.8556390993252,0.388556390993252
"122","control","post_18","control","post_18",590,"0590-00116",5.05921791744507,236.635743548163,2.13797706195444,0.0213797706195444
"123","control","post_18","control","post_18",590,"0590-00117",90.8225006074222,125.368342197549,72.4445254802117,0.724445254802117
"124","control","post_18","control","post_18",590,"0590-00118",143.744528007669,363.006768410476,39.5983051878325,0.395983051878325
"125","control","pre_treatment","control","pre_treatment",40,"0040-00003",101.42462637777,222.894039435171,45.5035166641453,0.455035166641453
"126","control","pre_treatment","control","pre_treatment",40,"0040-00005",52.129196033427,198.328675702853,26.2842455074574,0.262842455074574
"127","control","pre_treatment","control","pre_treatment",40,"0040-00007",4.9578429724616,122.339044026254,4.05254349657796,0.0405254349657796
"128","control","pre_treatment","control","pre_treatment",40,"0040-00103",60.8452507735232,283.722856250499,21.4453116599823,0.214453116599823
"129","control","pre_treatment","control","pre_treatment",40,"0040-00104",122.070450533116,227.093548140176,53.7533767616182,0.537533767616182
"130","control","pre_treatment","control","pre_treatment",40,"0040-00105",85.683353669393,346.284275294821,24.7436455485723,0.247436455485723
"131","control","pre_treatment","control","pre_treatment",40,"0040-00106",47.5960347762384,177.556432850164,26.8061449603483,0.268061449603483
"132","control","pre_treatment","control","pre_treatment",40,"0040-00108",0.586121489528318,135.938612729319,0.431166302024431,0.00431166302024431
"133","control","pre_treatment","control","pre_treatment",40,"0040-00109",96.9899220404248,325.320192486147,29.8136802696485,0.298136802696485
"134","control","pre_treatment","control","pre_treatment",40,"0040-00111",23.5245420298484,195.03709201795,12.0615734096791,0.120615734096791
"135","control","pre_treatment","control","pre_treatment",40,"0040-00114",0.530821773358709,165.011888091653,0.321686988433144,0.00321686988433144
