"treatment","timestep","treatment_factor","timestep_factor","comp","plot_id","tree_carbon_large","tree_carbon","large_percentage","large_percentage_01"
"burn","post_18","burn","post_18",340,"0340-00111",74.0046113034144,109.630620670922,67.5035960304867,0.675035960304867
"burn","post_18","burn","post_18",340,"0340-00112",429.134330869994,462.602722949519,92.7651977778833,0.927651977778833
"burn","post_18","burn","post_18",340,"0340-00113",181.725788828564,185.558412040258,97.9345462328799,0.979345462328799
"burn","post_18","burn","post_18",340,"0340-00114",218.131563734062,224.871246759644,97.0028702545573,0.970028702545573
"burn","post_18","burn","post_18",340,"0340-00116",127.622784890388,192.722237397674,66.221099658076,0.66221099658076
"burn","post_18","burn","post_18",340,"0340-00117",90.3900453740609,180.131664001861,50.1799868862186,0.501799868862186
"burn","post_18","burn","post_18",340,"0340-00121",167.020880761553,241.168707498865,69.2547895179721,0.692547895179721
"burn","post_18","burn","post_18",340,"0340-00122",47.793579654737,153.279150635323,31.1807440585616,0.311807440585616
"burn","post_18","burn","post_18",340,"0340-00123",229.412564912395,355.171821123104,64.5919949918773,0.645919949918773
"burn","post_18","burn","post_18",340,"0340-00124",120.530255141581,148.347318798596,81.2486913263453,0.812486913263453
"burn","post_18","burn","post_18",400,"0400-00009",46.8151168901927,182.468247316661,25.6565827636566,0.256565827636566
"burn","post_18","burn","post_18",400,"0400-00022",172.31125765374,245.352591609442,70.2300540309878,0.702300540309878
"burn","post_18","burn","post_18",400,"0400-00024",161.335986513779,281.659322044818,57.2805420898182,0.572805420898182
"burn","post_18","burn","post_18",400,"0400-00101",136.342917431143,176.780290699478,77.1256325530781,0.771256325530781
"burn","post_18","burn","post_18",400,"0400-00102",60.3633157002309,125.106754895519,48.2494456439561,0.482494456439561
"burn","post_18","burn","post_18",400,"0400-00103",136.64349341634,237.586869305993,57.5130661957392,0.575130661957392
"burn","post_18","burn","post_18",400,"0400-00104",50.3173781714883,146.331447570321,34.3858951762969,0.343858951762969
"burn","post_18","burn","post_18",400,"0400-00105",238.595935500779,302.919706671609,78.7654055665112,0.787654055665112
"burn","post_18","burn","post_18",400,"0400-00106",297.903549992478,415.161602051814,71.7560459638312,0.717560459638312
"burn","post_18","burn","post_18",400,"0400-00108",180.366983126354,227.004073257026,79.4553950237418,0.794553950237418
"burn","post_18","burn","post_18",400,"0400-00109",49.5561459230161,206.853733537128,23.9570952264787,0.239570952264787
"burn","post_18","burn","post_18",400,"0400-00110",102.091007391658,226.642831315841,45.0448870581694,0.450448870581694
"burn","post_18","burn","post_18",400,"0400-00112",65.1342171685745,179.29040185737,36.3288923968112,0.363288923968112
"burn","post_18","burn","post_18",400,"0400-00116",134.472898352543,186.927882862737,71.9383840939808,0.719383840939808
"burn","post_18","burn","post_18",400,"0400-00118",38.1374947648468,161.436588484938,23.6238235227605,0.236238235227605
"burn","post_18","burn","post_18",400,"0400-00120",129.641023710485,234.462397178639,55.292885029965,0.55292885029965
"burn","post_18","burn","post_18",400,"0400-00121",155.00404693706,290.264953810922,53.4008825047579,0.534008825047579
"burn","pre_treatment","burn","pre_treatment",60,"0060-00021",55.5011934339442,148.942893046273,37.2634049861655,0.372634049861655
"burn","pre_treatment","burn","pre_treatment",60,"0060-00102",138.662716291159,211.090586968245,65.6887255290158,0.656887255290158
"burn","pre_treatment","burn","pre_treatment",60,"0060-00107",35.9516482566062,65.6578101920386,54.756087891834,0.54756087891834
"burn","pre_treatment","burn","pre_treatment",60,"0060-00109",45.9446373736221,192.297396262763,23.8924906246995,0.238924906246995
"burn","pre_treatment","burn","pre_treatment",60,"0060-00113",40.8921115804852,113.219039882626,36.1176985981138,0.361176985981138
"burn","pre_treatment","burn","pre_treatment",60,"0060-00114",109.054861479402,336.495153758263,32.4090437147117,0.324090437147117
"burn","pre_treatment","burn","pre_treatment",60,"0060-00116",48.5159460977957,152.70698033525,31.7706145398755,0.317706145398755
"burn","pre_treatment","burn","pre_treatment",60,"0060-00117",131.333417789433,185.640688017997,70.7460305128265,0.707460305128265
"burn","pre_treatment","burn","pre_treatment",60,"0060-00130",55.6449969012656,135.61445912258,41.0317581630208,0.410317581630208
"burn","pre_treatment","burn","pre_treatment",340,"0340-00006",90.2591326578132,125.617724121979,71.8522272941106,0.718522272941106
"burn","pre_treatment","burn","pre_treatment",340,"0340-00024",47.7432182163124,226.160215786682,21.1103522563599,0.211103522563599
"burn","pre_treatment","burn","pre_treatment",340,"0340-00026",47.6086758559395,132.586639082992,35.9075968628627,0.359075968628627
"burn","pre_treatment","burn","pre_treatment",340,"0340-00103",109.495886274351,235.742060677538,46.4473272014562,0.464473272014562
"burn","pre_treatment","burn","pre_treatment",340,"0340-00104",50.1096200575185,115.119045416198,43.5285229097877,0.435285229097877
"burn","pre_treatment","burn","pre_treatment",340,"0340-00112",227.524275046033,440.662678267074,51.6322997765054,0.516322997765054
"burn","pre_treatment","burn","pre_treatment",340,"0340-00113",104.123410483594,260.031158864205,40.0426667859331,0.400426667859331
"burn","pre_treatment","burn","pre_treatment",340,"0340-00114",48.8041356933401,195.414425398412,24.9746842352288,0.249746842352288
"burn","pre_treatment","burn","pre_treatment",340,"0340-00116",59.9305929036473,173.535717200747,34.5350189980311,0.345350189980311
"burn","pre_treatment","burn","pre_treatment",340,"0340-00123",140.424634590712,231.921806481441,60.5482669875413,0.605482669875413
"burn","pre_treatment","burn","pre_treatment",340,"0340-00124",42.9637644885308,131.445237228661,32.6856760993107,0.326856760993107
"burn","pre_treatment","burn","pre_treatment",400,"0400-00009",34.4095633375672,161.323522851228,21.3295387612503,0.213295387612503
"burn","pre_treatment","burn","pre_treatment",400,"0400-00022",98.8613878595684,189.588648383123,52.1452042106384,0.521452042106384
"burn","pre_treatment","burn","pre_treatment",400,"0400-00024",40.7542008127577,199.259506559435,20.4528263250525,0.204528263250525
"burn","pre_treatment","burn","pre_treatment",400,"0400-00101",39.3527310608891,122.390102374471,32.1535240982834,0.321535240982834
"burn","pre_treatment","burn","pre_treatment",400,"0400-00102",40.5590622982803,110.53225035751,36.6943242059167,0.366943242059167
"burn","pre_treatment","burn","pre_treatment",400,"0400-00103",92.2903522144989,165.230911041619,55.855379379499,0.55855379379499
"burn","pre_treatment","burn","pre_treatment",400,"0400-00104",36.0766641700122,136.709607403092,26.389267627431,0.26389267627431
