"","treatment","timestep","comp","plot_id","tree_carbon","understory_carbon","fuels_carbon","soil_carbon","all_carbon","treatment_factor","timestep_factor"
"40","burn","post_18",400,"0400-00022",245.352591609442,0,12.340757236456,52.5973443792965,310.290693225195,"burn","post_18"
"41","burn","post_18",400,"0400-00023",80.6813685372738,0,20.496177213787,59.7649347597337,160.942480510794,"burn","post_18"
"42","burn","post_18",400,"0400-00024",281.659322044818,0.129419375,26.13096911437,41.0031167172133,348.922827251401,"burn","post_18"
"43","burn","post_18",400,"0400-00101",176.780290699478,0,12.823794975813,58.2299065332949,247.833992208586,"burn","post_18"
"44","burn","post_18",400,"0400-00102",125.106754895519,0,22.47315599381,48.0308887832038,195.610799672533,"burn","post_18"
"45","burn","post_18",400,"0400-00103",237.586869305993,0.773516248,14.3648028523245,80.0965806525663,332.821769058884,"burn","post_18"
"46","burn","post_18",400,"0400-00104",146.331447570321,0.773516248,13.9214072858,53.6329852704356,214.659356374556,"burn","post_18"
"47","burn","post_18",400,"0400-00105",302.919706671609,0,10.8986537743295,72.6746109951495,386.492971441087,"burn","post_18"
"48","burn","post_18",400,"0400-00106",415.161602051814,0,11.4361369001235,46.3868439027769,472.984582854714,"burn","post_18"
"49","burn","post_18",400,"0400-00108",227.004073257026,0,9.790719768786,49.994015945338,286.78880897115,"burn","post_18"
"50","burn","post_18",400,"0400-00109",206.853733537128,0,13.376921410513,45.343409810888,265.574064758528,"burn","post_18"
"51","burn","post_18",400,"0400-00110",226.642831315841,0,10.623661579534,53.8610960462666,291.127588941642,"burn","post_18"
"52","burn","post_18",400,"0400-00116",186.927882862737,1.381430514,18.308224028497,64.2996848154398,270.917222220674,"burn","post_18"
"53","burn","post_18",400,"0400-00118",161.436588484938,0.773516248,15.78554967303,60.356779614493,238.352434020461,"burn","post_18"
"54","burn","post_18",400,"0400-00119",96.8098550440407,0.736833641,26.72325457104,57.5088218131121,181.778765069193,"burn","post_18"
"55","burn","post_18",400,"0400-00120",234.462397178639,0.129419375,13.365833423599,53.4314204794968,301.389070456735,"burn","post_18"
"56","burn","post_18",400,"0400-00121",290.264953810922,0,13.4904043548525,45.8560631024118,349.611421268186,"burn","post_18"
"57","burn","pre_treatment",60,"0060-00021",148.942893046273,0,47.85938480945,71.1585462594549,267.960824115178,"burn","pre_treatment"
"58","burn","pre_treatment",60,"0060-00027",56.8817566108277,0.773516248,36.784108270868,57.7537129387807,152.193094068476,"burn","pre_treatment"
"59","burn","pre_treatment",60,"0060-00101",76.1887622545748,0.101235711,72.041665676915,66.1655321814929,214.497195823983,"burn","pre_treatment"
"60","burn","pre_treatment",60,"0060-00102",211.090586968245,0.101235711,70.935119114605,63.3658131331568,345.492754927007,"burn","pre_treatment"
"61","burn","pre_treatment",60,"0060-00103",112.951370535723,1.002708664,36.593216077215,60.2316158295644,210.778911106502,"burn","pre_treatment"
"62","burn","pre_treatment",60,"0060-00104",70.2404944810185,2.851940004,63.19575758288,59.3794067190324,195.667598786931,"burn","pre_treatment"
"63","burn","pre_treatment",60,"0060-00105",125.404528432227,0.202971422,38.765202424895,60.6435654318706,225.016267710993,"burn","pre_treatment"
"64","burn","pre_treatment",60,"0060-00106",134.436941332909,0,79.79754697748,70.0123014704735,284.246789780862,"burn","pre_treatment"
"65","burn","pre_treatment",60,"0060-00107",65.6578101920386,1.344098405,35.560141965375,70.580171128029,173.142221690443,"burn","pre_treatment"
"66","burn","pre_treatment",60,"0060-00109",192.297396262763,0,39.3259794816365,49.3009803979456,280.924356142346,"burn","pre_treatment"
"67","burn","pre_treatment",60,"0060-00111",113.223392585149,0.435126508,69.704145797295,57.7490701742458,241.11173506469,"burn","pre_treatment"
"68","burn","pre_treatment",60,"0060-00112",113.952471746209,0.402370483,33.01439788572,64.571847810981,211.94108792591,"burn","pre_treatment"
"69","burn","pre_treatment",60,"0060-00113",113.219039882626,0.103235711,38.191255242011,61.2906827896119,212.804213625249,"burn","pre_treatment"
"70","burn","pre_treatment",60,"0060-00114",336.495153758263,0.573251195,58.971873931735,73.3072650921169,469.347543977114,"burn","pre_treatment"
"71","burn","pre_treatment",60,"0060-00116",152.70698033525,1.26615512,41.86722240562,81.6915615432954,277.531919404165,"burn","pre_treatment"
"72","burn","pre_treatment",60,"0060-00117",185.640688017997,1.678561563,18.307730488207,56.8183245452452,262.445304614449,"burn","pre_treatment"
"73","burn","pre_treatment",60,"0060-00119",206.621920960029,0.204971422,66.74611919367,58.9087642450276,332.481775820727,"burn","pre_treatment"
"74","burn","pre_treatment",340,"0340-00006",125.617724121979,3.287473558,25.383471199375,49.0491337425385,203.337802621893,"burn","pre_treatment"
"75","burn","pre_treatment",340,"0340-00013",133.288254172902,0.708649977,39.4669627508915,38.0288240613257,211.492690962119,"burn","pre_treatment"
"76","burn","pre_treatment",340,"0340-00024",226.160215786682,0,48.99930460986,57.4081496821619,332.567670078704,"burn","pre_treatment"
"77","burn","pre_treatment",340,"0340-00025",74.4424745303345,0,43.9168210082495,77.3326125361698,195.691908074754,"burn","pre_treatment"
"78","burn","pre_treatment",340,"0340-00026",132.586639082992,0.101735711,43.1225233011085,45.2773337521734,221.088231847274,"burn","pre_treatment"
"79","burn","pre_treatment",340,"0340-00103",235.742060677538,0.203971422,63.208977471365,47.867055798548,347.022065369451,"burn","pre_treatment"
"80","burn","pre_treatment",340,"0340-00104",115.119045416198,2.9550104,49.90940693364,50.4296722055208,218.413134955358,"burn","pre_treatment"
"81","burn","pre_treatment",340,"0340-00108",81.8454940925122,0.980194039,36.672825744254,55.5594709984422,175.057984874208,"burn","pre_treatment"
"82","burn","pre_treatment",340,"0340-00109",86.1548440381341,0.303134772,9.716687097553,48.5066128167463,144.681278724433,"burn","pre_treatment"
"83","burn","pre_treatment",340,"0340-00111",155.092448071189,0,127.605383311275,56.1884228022301,338.886254184694,"burn","pre_treatment"
"84","burn","pre_treatment",340,"0340-00112",440.662678267074,0.102235711,45.7804064803,45.7927714198856,532.338091878259,"burn","pre_treatment"
