,StandID,Year,PTorch_Sev,Mortality_BA_Sev,treatment
51,0400-00109,2020,1.51E-08,6,burn
52,0400-00110,2020,0,3,burn
53,0400-00118,2020,0.001971363,12,burn
54,0400-00119,2020,0,11,burn
55,0400-00120,2020,0,7,burn
56,0400-00121,2020,0,4,burn
57,0040-00012,2020,0.721871436,98,control
58,0240-00003,2020,1.000000238,89,control
59,0240-00009,2020,0.99886471,99,control
60,0040-00002,2020,1.000000358,97,control
61,0040-00003,2020,0.018655114,8,control
62,0040-00005,2020,0.873204231,98,control
63,0040-00101,2020,1.03E-06,22,control
64,0040-00103,2020,0.271057993,9,control
65,0040-00104,2020,0.145750791,8,control
66,0040-00105,2020,0.940753996,98,control
67,0040-00106,2020,0.999482691,14,control
68,0040-00107,2020,0.998984933,100,control
69,0040-00108,2020,0.999992549,98,control
70,0040-00109,2020,0.158742398,6,control
71,0040-00110,2020,0.073920257,6,control
72,0040-00111,2020,0.999993265,11,control
73,0040-00112,2020,0.999992132,11,control
74,0040-00113,2020,0.822700977,100,control
75,0040-00114,2020,1.000000238,68,control
76,0040-00116,2020,0.056941114,28,control
77,0240-00005,2020,0.671908915,99,control
78,0240-00007,2020,0.130876735,14,control
79,0240-00022,2020,6.38E-06,100,control
80,0240-00026,2020,0.995582402,10,control
81,0240-00101,2020,0.999807239,17,control
82,0240-00102,2020,0.931580782,7,control
83,0240-00104,2020,1.000000358,100,control
84,0240-00105,2020,0.999659061,12,control
85,0240-00106,2020,0.998601079,100,control
86,0240-00107,2020,0.895494401,14,control
87,0240-00109,2020,0.334737062,25,control
88,0240-00110,2020,0.999952853,98,control
89,0240-00112,2020,0.999998152,55,control
90,0240-00113,2020,0.000402327,100,control
91,0240-00114,2020,0.522143662,12,control
92,0240-00115,2020,0.003471004,100,control
93,0590-00005,2020,0.964339793,87,control
94,0590-00009,2020,0.91213274,100,control
95,0590-00013,2020,0.536494493,12,control
96,0590-00021,2020,0.999999106,28,control
97,0590-00101,2020,0.836569488,21,control
98,0590-00102,2020,0,14,control
99,0590-00104,2020,0.986440897,15,control
100,0590-00105,2020,0.153113246,6,control
101,0590-00106,2020,0.986517608,10,control
102,0590-00107,2020,0.679224014,100,control
103,0590-00109,2020,1.96E-06,5,control
104,0590-00111,2020,1.000000358,96,control
105,0590-00113,2020,0.899888575,48,control
106,0590-00115,2020,0.342401952,15,control
107,0590-00116,2020,0.939841807,15,control
108,0590-00117,2020,0.000887333,12,control
109,0590-00118,2020,0.646133184,8,control
110,0190-00010,2020,4.58E-05,4,mech
111,0190-00024,2020,0.000164251,7,mech
112,0190-00025,2020,0.007872348,7,mech
113,0190-00026,2020,0.030474428,6,mech
114,0190-00102,2020,0.019101942,5,mech
115,0190-00106,2020,0.073764004,17,mech
116,0190-00108,2020,0.052931763,4,mech
117,0190-00110,2020,0.000119668,4,mech
118,0190-00111,2020,0.177535355,6,mech
119,0350-00002,2020,0.833312094,6,mech
120,0350-00003,2020,0,3,mech
121,0350-00005,2020,0.052155487,7,mech
122,0350-00101,2020,0,13,mech
123,0350-00102,2020,6.79E-05,5,mech
124,0350-00103,2020,0.655742586,21,mech
125,0350-00105,2020,0.00325675,15,mech
126,0350-00106,2020,2.38E-06,5,mech
127,0350-00109,2020,0.727897704,11,mech
128,0350-00110,2020,0,7,mech
129,0350-00111,2020,0.1153991,6,mech
130,0350-00112,2020,0.115054987,6,mech
131,0350-00113,2020,0.004141481,5,mech
132,0350-00115,2020,0.26849097,14,mech
